"ID","Наименование","Штрихкод","SKU","ID товара","К отправке","В продаже","Возврат","Брак","Себест. (руб.)","Стоимость продажи (руб.)","Общий остаток","Общая сумма остатков (руб.)","Себест. (сумма) (руб.)","Стоимость продажи (сумма) (руб.)","Остаток на СДХ","Остаток на фотостудии","Остаток на СДХ (сумма) (руб.)","Доступно к отправке","Статус","Среднесуточные продажи (шт.)","Среднесуточные остатки, (шт.)","Оборачиваемость","Габариты товара: длина (мм)","Габариты товара: ширина (мм)","Габариты товара: высота (мм)","Платные остатки (шт.)","Объем платных остатков (л)","Стоимость хранения (руб. в день)","Seller SKU ID"
"3913","Игрушка-вкладыши 'Животные'","1000000039139","WONDERS-ВКЛЖИВ1-СЕРЕБРН","2051","0","0","0","0","60,03","199,00","0","0,00","0,00","0,00","0","0","0,00","1000","Закончился","0,000","0,000","0,000","0","0","0","0","0,00","0,00",""
"3914","Игрушка-вкладыши 'Животные'","1000000039146","WONDERS-ВКЛЖИВ1-СЕРЫЙ","2051","0","0","0","0","60,03","199,00","0","0,00","0,00","0,00","0","0","0,00","1000","Закончился","0,000","0,000","0,000","0","0","0","0","0,00","0,00",""
"3915","Игрушка-вкладыши 'Животные'","1000000039153","WONDERS-ВКЛЖИВ1-ЧЕРН","2051","0","0","0","0","60,03","199,00","0","0,00","0,00","0,00","0","0","0,00","1000","Закончился","0,000","0,000","0,000","0","0","0","0","0,00","0,00",""
"3916","Игрушка-вкладыши 'Животные'","1000000039160","WONDERS-ВКЛЖИВ1-УГОЛЬН","2051","0","0","0","0","60,03","199,00","0","0,00","0,00","0,00","0","0","0,00","1000","Закончился","0,000","0,000","0,000","0","0","0","0","0,00","0,00",""
"4206","Новогодние декоративные наволочки 45х45 см","1000000042061","WONDERS-НГНАВЛ1-ЧЕРН","2183","0","0","0","0","44,00","199,00","0","0,00","0,00","0,00","0","0","0,00","1000","Закончился","0,000","0,000","0,000","0","0","0","0","0,00","0,00",""
"4207","Новогодние декоративные наволочки 45х45 см","1000000042078","WONDERS-НГНАВЛ1-СЕРЫЙ","2183","0","0","0","0","44,00","199,00","0","0,00","0,00","0,00","0","0","0,00","1000","Закончился","0,000","0,000","0,000","0","0","0","0","0,00","0,00",""
"4208","Новогодние декоративные наволочки 45х45 см","1000000042085","WONDERS-НГНАВЛ1-СЕРЕБРН","2183","0","0","0","0","44,00","199,00","0","0,00","0,00","0,00","0","0","0,00","1000","Закончился","0,000","0,000","0,000","0","0","0","0","0,00","0,00",""
"4209","Новогодние декоративные наволочки 45х45 см","1000000042092","WONDERS-НГНАВЛ1-БЕЛЫЙ","2183","0","0","0","0","44,00","199,00","0","0,00","0,00","0,00","0","0","0,00","1000","Закончился","0,000","0,000","0,000","0","0","0","0","0,00","0,00",""
"4210","Новогодние декоративные наволочки 45х45 см","1000000042108","WONDERS-НГНАВЛ1-КОРИЧН","2183","0","0","0","0","44,00","199,00","0","0,00","0,00","0,00","0","0","0,00","1000","Закончился","0,000","0,000","0,000","0","0","0","0","0,00","0,00",""
"4211","Новогодние декоративные наволочки 45х45 см","1000000042115","WONDERS-НГНАВЛ1-ТРАКОТ","2183","0","0","0","0","44,00","199,00","0","0,00","0,00","0,00","0","0","0,00","1000","Закончился","0,000","0,000","0,000","0","0","0","0","0,00","0,00",""
"4212","Новогодние декоративные наволочки 45х45 см","1000000042122","WONDERS-НГНАВЛ1-ОЛИВК","2183","0","0","0","0","44,00","199,00","0","0,00","0,00","0,00","0","0","0,00","1000","Закончился","0,000","0,000","0,000","0","0","0","0","0,00","0,00",""
"4216","Новогодние декоративные наволочки 45х45 см","1000000042160","WONDERS-НГНВЛ1-ЧЕРН","2185","0","0","0","0","66,00","199,00","0","0,00","0,00","0,00","0","0","0,00","1000","Закончился","0,000","0,000","0,000","0","0","0","0","0,00","0,00",""
"4217","Новогодние декоративные наволочки 45х45 см","1000000042177","WONDERS-НГНВЛ1-УГОЛЬН","2185","0","0","0","0","66,00","199,00","0","0,00","0,00","0,00","0","0","0,00","1000","Закончился","0,000","0,000","0,000","0","0","0","0","0,00","0,00",""
"4218","Новогодние декоративные наволочки 45х45 см","1000000042184","WONDERS-НГНВЛ1-БЕЛЫЙ","2185","0","0","0","0","66,00","199,00","0","0,00","0,00","0,00","0","0","0,00","1000","Закончился","0,000","0,000","0,000","0","0","0","0","0,00","0,00",""
"4219","Новогодние декоративные наволочки 45х45 см","1000000042191","WONDERS-НГНВЛ1-КОРИЧН","2185","0","0","0","0","66,00","199,00","0","0,00","0,00","0,00","0","0","0,00","1000","Закончился","0,000","0,000","0,000","0","0","0","0","0,00","0,00",""
"4220","Новогодние декоративные наволочки 45х45 см","1000000042207","WONDERS-НГНВЛ1-ОЛИВК","2185","0","0","0","0","66,00","199,00","0","0,00","0,00","0,00","0","0","0,00","1000","Закончился","0,000","0,000","0,000","0","0","0","0","0,00","0,00",""
"4221","Новогодние декоративные наволочки 45х45 см","1000000042214","WONDERS-НГНВЛ1-ХАКИ","2185","0","0","0","0","66,00","199,00","0","0,00","0,00","0,00","0","0","0,00","1000","Закончился","0,000","0,000","0,000","0","0","0","0","0,00","0,00",""
"4222","Новогодние декоративные наволочки 45х45 см","1000000042221","WONDERS-НГНВЛ1-СЕРЕБРН","2185","0","0","0","0","66,00","250,00","0","0,00","0,00","0,00","0","0","0,00","1000","Закончился","0,000","0,000","0,000","0","0","0","0","0,00","0,00",""
"4223","Новогодние декоративные наволочки 45х45 см","1000000042238","WONDERS-НГНВЛ1-КРАСН","2185","0","0","0","0","66,00","250,00","0","0,00","0,00","0,00","0","0","0,00","1000","Закончился","0,000","0,000","0,000","0","0","0","0","0,00","0,00",""
"4228","Юбка для новогодней ёлки","1000000042283","WONDERS-ЮБКДЁЛ1","2187","0","0","0","0","112,00","250,00","0","0,00","0,00","0,00","0","0","0,00","1000","Закончился","0,000","0,000","0,000","0","0","0","0","0,00","0,00",""
"4229","Юбка для новогодней ёлки белая","1000000042290","WONDERS-ЮБДЁЛБ1","1814","0","0","0","0","181,00","390,00","0","0,00","0,00","0,00","0","0","0,00","1000","Закончился","0,000","0,000","0,000","0","0","0","0","0,00","0,00",""
"4230","Рождественский носок 45 см","1000000042306","WONDERS-РЖДНСК1","2188","0","0","0","0","74,00","350,00","0","0,00","0,00","0,00","0","0","0,00","1000","Закончился","0,000","0,000","0,000","0","0","0","0","0,00","0,00",""
"4232","Новогодние чехлы на спинку стула 2 штуки","1000000042320","WONDERS-НГЧХСТ1","2189","0","0","0","0","33,00","200,00","0","0,00","0,00","0,00","0","0","0,00","1000","Закончился","0,000","0,000","0,000","0","0","0","0","0,00","0,00",""
"4233","Новогодняя скатерть 132 х 208 см","1000000042337","WONDERS-НГСКТР1","1798","0","0","0","0","121,00","650,00","0","0,00","0,00","0,00","0","0","0,00","1000","Закончился","0,000","0,000","0,000","0","0","0","0","0,00","0,00",""
"4234","Новогодние чехлы для столовых приборов","1000000042344","WONDERS-НГЧСТП1-КОРИЧН","1807","0","0","0","0","15,00","35,00","0","0,00","0,00","0,00","0","0","0,00","1000","Закончился","0,000","0,000","0,000","0","0","0","0","0,00","0,00",""
"4235","Новогодние чехлы для столовых приборов","1000000042351","WONDERS-НГЧСТП1-СЕРЫЙ","1807","0","0","0","0","15,00","35,00","0","0,00","0,00","0,00","0","0","0,00","1000","Закончился","0,000","0,000","0,000","0","0","0","0","0,00","0,00",""
"4236","Новогодние чехлы для столовых приборов","1000000042368","WONDERS-НГЧСТП1-БЕЛЫЙ","1807","0","0","0","0","15,00","35,00","0","0,00","0,00","0,00","0","0","0,00","1000","Закончился","0,000","0,000","0,000","0","0","0","0","0,00","0,00",""
"4237","Новогодние чехлы для столовых приборов","1000000042375","WONDERS-НГЧСТП1-ЧЕРН","1807","0","0","0","0","15,00","35,00","0","0,00","0,00","0,00","0","0","0,00","1000","Закончился","0,000","0,000","0,000","0","0","0","0","0,00","0,00",""
"4238","Декоративные наволочки 45х45 см  2 штуки","1000000042382","WONDERS-ДЕКНАВ1-МАНГО","2197","0","0","0","0","62,00","150,00","0","0,00","0,00","0,00","0","0","0,00","1000","Закончился","0,000","0,000","0,000","0","0","0","0","0,00","0,00",""
"4239","Декоративные наволочки 45х45 см  2 штуки","1000000042399","WONDERS-ДЕКНАВ1-ЛАВАНД","2197","0","0","0","0","62,00","150,00","0","0,00","0,00","0,00","0","0","0,00","1000","Закончился","0,000","0,000","0,000","0","0","0","0","0,00","0,00",""
"4240","Декоративные наволочки 45х45 см  2 штуки","1000000042405","WONDERS-ДЕКНАВ1-ЛАЙМ","2197","0","0","0","0","62,00","150,00","0","0,00","0,00","0,00","0","0","0,00","1000","Закончился","0,000","0,000","0,000","0","0","0","0","0,00","0,00",""
"4241","Декоративные наволочки 45х45 см  2 штуки","1000000042412","WONDERS-ДЕКНАВ1-БАГРОВ","2197","0","0","0","0","62,00","150,00","0","0,00","0,00","0,00","0","0","0,00","1000","Закончился","0,000","0,000","0,000","0","0","0","0","0,00","0,00",""
"4242","Декоративные наволочки 45х45 см  2 штуки","1000000042429","WONDERS-ДЕКНАВ1-ФУКСИЯ","2197","0","0","0","0","62,00","150,00","0","0,00","0,00","0,00","0","0","0,00","1000","Закончился","0,000","0,000","0,000","0","0","0","0","0,00","0,00",""
"4256","Деревянная игрушка-стучалка","1000000042566","WONDERS-ИГРУШКА-СТЧМЗУ1","323","0","0","0","0","400,00","1350,00","0","0,00","0,00","0,00","0","0","0,00","1000","Закончился","0,000","0,000","0,000","197","97","150","0","0,00","0,00",""
"4257","Деревянный конструктор - сортер Паровозик. Развивающая игрушка","1000000042573","WONDERS-ДЕРПРВ1-ДЕРЕВО","348","0","0","0","0","550,00","1150,00","0","0,00","0,00","0,00","0","0","0,00","1000","Закончился","0,000","0,000","0,000","0","0","0","0","0,00","0,00",""
"4258","Игрушка деревянная 3 в 1: машинка сортер ксилофон","1000000042580","WONDERS-МШСРКС1","395","0","0","1","0","650,00","1890,00","0","0,00","0,00","0,00","0","0","0,00","1000","Возврат","0,000","0,000","0,000","300","140","120","0","0,00","0,00",""
