group,title,sku,seller_sku_id,product_id,sale_price,total_stock,units_sold_window,priority_score,fill_cogs,fill_source,fill_comment
Антистрессы и сквиши,Мялка - антистресс с пазлом Собачка / Песик и Единорог,WONDERS-9632056-КОРИЧН,,2468673,369.0,19,0,97.0,,,
Антистрессы и сквиши,Мялка - антистресс с пазлом Собачка / Песик и Единорог,WONDERS-9632056-РОЗОВ,,2468673,369.0,19,0,97.0,,,
Антистрессы и сквиши,Мялка - антистресс с пазлом Котики Панда Динозавр,WONDERS-МЯЛКА-БИРЮЗ,,2465678,329.0,20,0,97.0,,,
Антистрессы и сквиши,Мялка - антистресс с пазлом Котики Панда Динозавр,WONDERS-МЯЛКА-ЧЕРН,,2465678,329.0,19,0,97.0,,,
Антистрессы и сквиши,Мялка - антистресс с пазлом Котики Панда Динозавр,WONDERS-МЯЛКА-АМЕТИС,,2465678,329.0,17,0,97.0,,,
Антистрессы и сквиши,Антистресс игрушка браслет мялка-тянучка светится,WONDERS-ТИГ28-ЖЕЛТ,,2222984,259.0,4,0,97.0,,,
Антистрессы и сквиши,Мялка антистресс тянучка Собака с песком,WONDERS-МОПС,,2973506,249.0,3,0,97.0,,,
Антистрессы и сквиши,Антистресс игрушка браслет мялка-тянучка светится,WONDERS-ТИГ28-ОРАНЖ,,2222984,259.0,1,0,97.0,,,
Антистрессы и сквиши,Антистресс игрушка браслет мялка-тянучка светится,WONDERS-ТИГ28-ГОЛУБ,,2222984,259.0,0,0,97.0,,,
Антистрессы и сквиши,Антистресс игрушка браслет мялка-тянучка светится,WONDERS-ТИГ28-ЗЕЛЕН,,2222984,259.0,0,0,97.0,,,
Антистрессы и сквиши,Антистресс игрушка браслет мялка-тянучка светится,WONDERS-ТИГ28-РОЗОВ,,2222984,259.0,0,0,97.0,,,
Антистрессы и сквиши,Антистресс игрушка браслет мялка-тянучка светится,WONDERS-ТИГ28-ФУКСИЯ,,2222984,259.0,0,0,97.0,,,
Ролевые игрушки и бластеры,Кружка керамическая детская сувенирная 350 мл Супер-мен Человек-паук Marvel,WONDERS-КРУЖК-СЕРЫЙ,КРУЖК-Серый,2976834,499.0,10,0,78.18,,,
Ролевые игрушки и бластеры,Кружка керамическая детская сувенирная 350 мл Супер-мен Человек-паук Marvel,WONDERS-КРУЖК-КРАСН,КРУЖК-Красный,2976834,499.0,8,0,78.18,,,
Ролевые игрушки и бластеры,Кружка керамическая детская сувенирная 350 мл Супер-мен Человек-паук Marvel,WONDERS-КРУЖК-АЛЫЙ,КРУЖК-Алый,2976834,499.0,2,0,78.18,,,
Ролевые игрушки и бластеры,Кружка керамическая детская сувенирная 350 мл Супер-мен Человек-паук Marvel,WONDERS-КРУЖК-ИНДИГО,КРУЖК-Индиго,2976834,454.09,2,0,78.18,,,
Ролевые игрушки и бластеры,Водный пистолет 'Водная Битва' Bondibon 17 см,WONDERS-ВОДПИСМ,,58561,90.0,0,0,78.18,,,
Ролевые игрушки и бластеры,Водный пистолет в ассортименте,WONDERS-ВОДПИСТ-БЕЛЫЙ,,58566,230.0,0,0,78.18,,,
Ролевые игрушки и бластеры,Водный пистолет в ассортименте,WONDERS-ВОДПИСТ-ФИОЛЕТ,,58566,150.0,0,0,78.18,,,
Ролевые игрушки и бластеры,Водный пистолет в ассортименте,WONDERS-ВОДПИСТ-ЧЕРН,,58566,150.0,0,0,78.18,,,
Ролевые игрушки и бластеры,Кружка керамическая детская сувенирная 350 мл Супер-мен Человек-паук Marvel,WONDERS-КРУЖК-ЛАЗУР,КРУЖК-Лазурный,2976834,499.0,0,0,78.18,,,
Ролевые игрушки и бластеры,Кружка керамическая детская сувенирная 350 мл Супер-мен Человек-паук Marvel,WONDERS-КРУЖК-ЛЕДЯН,КРУЖК-Ледяной,2976834,499.0,0,0,78.18,,,
Мягкие игрушки и театр,Пальчиковый театр Животные,WONDERS-ВВ4777-АЛЫЙ,,1999475,590.59,13,0,75.55,,,
Мягкие игрушки и театр,Мягкая игрушка из плюша 'Монстрик своими руками',WONDERS-04374-ЗЕЛЕН,,2206950,759.0,8,0,75.55,,,
Мягкие игрушки и театр,Пальчиковый театр Животные,WONDERS-ВВ4777-ОРАНЖ,,1999475,494.1,12,0,75.55,,,
Мягкие игрушки и театр,Мягкая игрушка 'Акула',WONDERS-АКУЛА-СЕРЫЙ,,2334363,649.0,9,0,75.55,,,
Мягкие игрушки и театр,Мягкая игрушка Енот Мишка,WONDERS-9418189-КОРИЧН,,2330951,599.0,9,0,75.55,,,
Мягкие игрушки и театр,Мягкая игрушка из плюша 'Монстрик своими руками',WONDERS-04374-ЖЕЛТ,,2206950,759.0,7,0,75.55,,,
Мягкие игрушки и театр,Ёлка новогодняя с игрушками. Дереявянная ёлочка для декора,WONDERS-ВВ5210-ЗЕЛХАКИ,,1999473,1125.0,4,0,75.55,,,
Мягкие игрушки и театр,Мяч детский прыгун мягкий Мячик Смайлик спорт в комплекте,WONDERS-МЯЧ-ЗОЛОТ-1,,2201234,128.0,34,0,75.55,,,
Мягкие игрушки и театр,Ёлка новогодняя с игрушками. Дереявянная ёлочка для декора,WONDERS-ВВ5210-ЗЕЛЕН,,1999473,711.0,6,0,75.55,,,
Мягкие игрушки и театр,Мяч детский прыгун мягкий Мячик Смайлик спорт в комплекте,WONDERS-МЯЧ-ЖЕЛТ-2,,2201234,249.0,16,0,75.55,,,
Мягкие игрушки и театр,Кукла-перчатка. Кукольный театр. Лиса Мышка Медведь Кот Заяц Лягушка,WONDERS-КУКПЕРЧ-КОТ,,939089,289.0,12,0,75.55,,,
Мягкие игрушки и театр,Кукла-перчатка. Кукольный театр. Лиса Мышка Медведь Кот Заяц Лягушка,WONDERS-КУКПЕРЧ-МЫШКА,,939089,299.0,11,0,75.55,,,
Мягкие игрушки и театр,Мягкая игрушка 'Акула',WONDERS-АКУЛА-СИНИЙ,,2334363,649.0,5,0,75.55,,,
Мягкие игрушки и театр,Кукла-перчатка. Кукольный театр. Лиса Мышка Медведь Кот Заяц Лягушка,WONDERS-КУКПЕРЧ-ЛИСА,,939089,289.0,11,0,75.55,,,
Мягкие игрушки и театр,Кукла-перчатка. Кукольный театр. Лиса Мышка Медведь Кот Заяц Лягушка,WONDERS-КУКПЕРЧ-КУРОЧКА,,939089,289.0,10,0,75.55,,,
Мягкие игрушки и театр,Кукла-перчатка. Кукольный театр. Лиса Мышка Медведь Кот Заяц Лягушка,WONDERS-КУКПЕРЧ-ВНУЧКА,,939089,299.0,8,0,75.55,,,
Мягкие игрушки и театр,Мяч детский прыгун мягкий Мячик Смайлик спорт в комплекте,WONDERS-МЯЧ-КОНФЕТН-2,,2201234,249.0,7,0,75.55,,,
Мягкие игрушки и театр,Кукла-перчатка. Кукольный театр. Лиса Мышка Медведь Кот Заяц Лягушка,WONDERS-КУКПЕРЧ-ВОЛК,,939089,289.0,6,0,75.55,,,
Мягкие игрушки и театр,Кукла-перчатка на руку Домашний кукольный театр Доктор  внучка Машенька,WONDERS-03663-ЗЕЛЕН,,2331513,1499.0,1,0,75.55,,,
Мягкие игрушки и театр,Мяч детский прыгун мягкий Мячик Смайлик спорт в комплекте,WONDERS-МЯЧ-МАРСАЛ-2,,2201234,249.0,6,0,75.55,,,
Мягкие игрушки и театр,Кукла-перчатка. Кукольный театр. Лиса Мышка Медведь Кот Заяц Лягушка,WONDERS-КУКПЕРЧ-МЕДВЕДЬ,,939089,289.0,5,0,75.55,,,
Мягкие игрушки и театр,Кукла-перчатка. Кукольный театр. Лиса Мышка Медведь Кот Заяц Лягушка,WONDERS-КУКПЕРЧ-ПЕТУШОК,,939089,289.0,4,0,75.55,,,
Мягкие игрушки и театр,Мяч детский прыгун мягкий Мячик Смайлик спорт в комплекте,WONDERS-МЯЧ-ЖЕЛТ-1,,2201234,128.0,8,0,75.55,,,
Мягкие игрушки и театр,Кукла-перчатка на руку Домашний кукольный театр Доктор  внучка Машенька,WONDERS-03663-БЕЖЕВ,,2331513,299.0,2,0,75.55,,,
Мягкие игрушки и театр,Мягкая игрушка 'Акула',WONDERS-АКУЛА-ФИОЛЕТ,,2334363,584.1,1,0,75.55,,,
Мягкие игрушки и театр,Кукла-перчатка. Кукольный театр. Лиса Мышка Медведь Кот Заяц Лягушка,WONDERS-КУКПЕРЧ-ЗАЯЦ,,939089,289.0,2,0,75.55,,,
Мягкие игрушки и театр,Мяч детский прыгун мягкий Мячик Смайлик спорт в комплекте,WONDERS-МЯЧ-АМЕТИС-1,,2201234,128.0,1,0,75.55,,,
Мягкие игрушки и театр,Набор игрушек для ванны,WONDERS-ИГРВАНН,,13772,260.0,0,0,75.55,,,
Мягкие игрушки и театр,Набор игрушек для купания BONDIBON - 'Корабль дельфин утенок черепаха',WONDERS-НАБВАН1,,39096,300.0,0,0,75.55,,,
Мягкие игрушки и театр,Набор игрушек-пищалок для купания BONDIBON Подводный мир 8 шт/упак,WONDERS-НАБВАН2,,39098,385.0,0,0,75.55,,,
Мягкие игрушки и театр,Держатель игрушек для ванной комнаты,WONDERS-ДЕРЖИГР-ЛЯГУШОН,,56807,350.0,0,0,75.55,,,
Мягкие игрушки и театр,Держатель игрушек для ванной комнаты,WONDERS-ДЕРЖИГР-УТЁНОК,,56807,350.0,0,0,75.55,,,
Мягкие игрушки и театр,Набор игрушек для купания в ванной Сачок-акула и 3 рыбки Bondibon Baby You,WONDERS-BB3130,,122211,450.0,0,0,75.55,,,
Мягкие игрушки и театр,Мягкие животные 2в1 Bondibon Вывернушка 17 см,WONDERS-ВЫВЕРНУ-КОРИЧН,,156519,390.0,0,0,75.55,,,
