group,products_seen,seller_count,orders_sum,avg_price,median_price,my_avg_price,my_median_price,my_sku_count,price_gap_pct,leading_seller_share_pct,dominance_hhi,competition_profile,novelty_proxy_index,fresh_top_product_share_pct,novelty_profile
Антистрессы и сквиши,7,7,22102,471.68,199.0,270.2,259.0,5,-42.72,90.99,8302.07,высокая концентрация,68.0,71.43,категория открыта для нового входа
Конструкторы,4,4,12624,954.12,780.54,679.71,545.09,41,-28.76,98.8,9761.67,высокая концентрация,70.6,25.0,категория открыта для нового входа
Мягкие игрушки и театр,8,6,3935,514.44,292.0,467.87,390.0,21,-9.05,90.44,8204.28,высокая концентрация,64.08,50.0,категория открыта для нового входа
Ролевые игрушки и бластеры,4,3,3600,444.25,309.0,278.27,284.5,4,-37.36,67.17,5553.52,высокая концентрация,70.74,75.0,категория открыта для нового входа
Товары для малышей,6,6,1973,466.04,323.5,402.74,312.0,29,-13.58,74.86,5833.96,высокая концентрация,76.8,50.0,категория открыта для нового входа
Прочее,13,8,1135,1377.57,386.0,493.32,390.0,176,-64.19,48.19,3459.23,высокая концентрация,74.08,40.0,категория открыта для нового входа
Деревянные игрушки и шнуровки,4,2,1105,354.96,322.54,476.66,400.0,173,34.29,53.39,5023.03,высокая концентрация,85.07,100.0,категория открыта для нового входа
Книги и обучающие материалы,1,1,597,425.7,425.7,468.95,330.0,63,10.16,100.0,10000.0,высокая концентрация,81.65,100.0,категория открыта для нового входа
Магнитные игры и одевашки,3,3,159,1394.37,1484.1,488.12,404.54,38,-64.99,71.7,5731.18,высокая концентрация,76.62,66.67,категория открыта для нового входа
"Кубики, мозаика и пирамидки",1,1,11,374.0,374.0,477.03,470.25,40,27.55,100.0,10000.0,высокая концентрация,64.95,0.0,есть окно для агрессивного входа
