group,products_seen,seller_count,orders_sum,avg_price,median_price,my_avg_price,my_median_price,my_sku_count,price_gap_pct,leading_seller_share_pct,dominance_hhi,competition_profile,novelty_proxy_index,fresh_top_product_share_pct,novelty_profile,my_avg_cogs,my_avg_gross_margin_pct,market_margin_fit_pct,target_margin_pct,margin_vs_target_pct,market_margin_fit_profile
Антистрессы и сквиши,22,19,47543,238.83,184.0,270.2,259.0,5,13.13,43.82,3183.67,высокая концентрация,73.4,50.0,категория открыта для нового входа,,,,35.0,,недостаточно данных
Конструкторы,18,12,27808,752.35,221.49,665.89,510.0,35,-11.49,53.72,3645.61,высокая концентрация,79.66,50.0,категория открыта для нового входа,,,,35.0,,недостаточно данных
Прочее,33,22,10377,816.5,220.0,490.26,390.0,161,-39.96,19.59,1118.11,раздробленный сегмент,76.99,70.0,категория открыта для нового входа,134.0,50.19,83.59,35.0,48.59,экономика комфортная
Творчество и рукоделие,4,4,6538,294.43,126.85,360.76,299.0,67,22.53,84.31,7249.8,высокая концентрация,74.44,50.0,категория открыта для нового входа,79.5,63.83,73.0,35.0,38.0,экономика комфортная
Мягкие игрушки и театр,16,14,5553,532.3,360.0,476.51,387.5,18,-10.48,71.08,5186.58,высокая концентрация,82.97,80.0,категория открыта для нового входа,,,,35.0,,недостаточно данных
Ролевые игрушки и бластеры,11,9,4901,593.19,280.0,231.36,150.0,3,-61.0,52.58,3437.01,высокая концентрация,80.35,90.0,категория открыта для нового входа,,,,35.0,,недостаточно данных
Товары для малышей,15,13,4652,290.48,232.5,402.74,312.0,29,38.65,45.89,3187.4,высокая концентрация,83.38,80.0,категория открыта для нового входа,,,,35.0,,недостаточно данных
"Кубики, мозаика и пирамидки",8,8,4510,279.25,224.88,479.46,490.5,39,71.7,61.49,4469.72,высокая концентрация,75.32,50.0,категория открыта для нового входа,,,,35.0,,недостаточно данных
Магнитные игры и одевашки,8,8,3618,697.13,343.65,488.12,404.54,38,-29.98,58.57,4328.97,высокая концентрация,74.55,62.5,категория открыта для нового входа,166.5,53.81,76.12,35.0,41.12,экономика комфортная
Транспорт и машинки,18,14,3610,1181.06,659.57,610.23,516.25,18,-48.33,37.01,2274.39,умеренная концентрация,77.56,90.0,категория открыта для нового входа,35.0,74.82,97.04,35.0,62.04,экономика комфортная
Деревянные игрушки и шнуровки,9,6,2599,426.39,224.1,475.13,400.0,169,11.43,55.44,3831.23,высокая концентрация,79.29,88.89,категория открыта для нового входа,183.0,57.51,57.08,35.0,22.08,экономика комфортная
Книги и обучающие материалы,5,5,2235,351.84,336.42,468.95,330.0,63,33.29,55.35,3925.87,высокая концентрация,73.12,60.0,категория открыта для нового входа,90.0,63.27,74.42,35.0,39.42,экономика комфортная
Настольные и карточные игры,4,3,1599,168.17,151.5,511.79,450.0,119,204.33,56.97,4185.39,высокая концентрация,84.31,75.0,категория открыта для нового входа,65.0,71.11,61.35,35.0,26.35,экономика комфортная
Куклы и фигурки,5,3,285,1648.0,149.0,434.57,418.35,14,-73.63,100.0,10000.0,высокая концентрация,57.15,60.0,категория открыта для нового входа,175.0,59.25,89.38,35.0,54.38,экономика комфортная
Пазлы,1,1,75,473.48,473.48,297.4,307.0,32,-37.19,100.0,10000.0,высокая концентрация,90.92,100.0,категория открыта для нового входа,,,,35.0,,недостаточно данных
