group,products_seen,seller_count,orders_sum,avg_price,median_price,my_avg_price,my_median_price,my_sku_count,price_gap_pct,leading_seller_share_pct,dominance_hhi,competition_profile,novelty_proxy_index,fresh_top_product_share_pct,novelty_profile,my_avg_cogs,my_avg_gross_margin_pct,market_margin_fit_pct,target_margin_pct,margin_vs_target_pct,market_margin_fit_profile
Мягкие игрушки и театр,21,18,30757,648.92,399.0,476.51,387.5,18,-26.57,77.91,6174.55,высокая концентрация,73.13,40.0,категория открыта для нового входа,,,,35.0,,недостаточно данных
Конструкторы,15,15,19112,661.1,256.0,665.89,510.0,35,0.72,65.27,4729.97,высокая концентрация,82.13,70.0,категория открыта для нового входа,,,,35.0,,недостаточно данных
Прочее,39,29,13109,577.36,220.0,483.81,390.0,158,-16.2,14.01,805.02,раздробленный сегмент,72.33,60.0,категория открыта для нового входа,134.0,50.19,76.79,35.0,41.79,экономика комфортная
Антистрессы и сквиши,15,14,9911,190.93,169.0,301.5,294.0,4,57.91,26.68,1575.37,умеренная концентрация,74.55,60.0,категория открыта для нового входа,,,,35.0,,недостаточно данных
Ролевые игрушки и бластеры,17,15,7989,285.71,170.0,231.36,150.0,3,-19.02,30.28,1885.42,умеренная концентрация,76.92,70.0,категория открыта для нового входа,,,,35.0,,недостаточно данных
Товары для малышей,12,10,6683,308.89,201.5,402.74,312.0,29,30.38,31.95,2189.71,умеренная концентрация,70.16,50.0,категория открыта для нового входа,,,,35.0,,недостаточно данных
Творчество и рукоделие,6,6,6677,429.3,371.43,362.36,299.0,66,-15.59,82.57,6955.45,высокая концентрация,79.39,83.33,категория открыта для нового входа,79.5,63.83,81.48,35.0,46.48,экономика комфортная
"Кубики, мозаика и пирамидки",8,8,5774,353.02,324.0,479.46,490.5,39,35.82,48.04,4498.95,высокая концентрация,71.44,50.0,категория открыта для нового входа,,,,35.0,,недостаточно данных
Деревянные игрушки и шнуровки,12,9,2695,373.54,246.0,474.89,399.0,166,27.13,48.91,3399.55,высокая концентрация,75.31,70.0,категория открыта для нового входа,183.0,57.51,51.01,35.0,16.01,экономика комфортная
Транспорт и машинки,22,15,2602,1000.6,374.5,610.23,516.25,18,-39.01,25.29,1622.74,умеренная концентрация,84.32,80.0,категория открыта для нового входа,35.0,74.82,96.5,35.0,61.5,экономика комфортная
Книги и обучающие материалы,7,7,1892,861.75,350.0,468.95,330.0,63,-45.58,31.61,2409.35,умеренная концентрация,78.83,85.71,категория открыта для нового входа,90.0,63.27,89.56,35.0,54.56,экономика комфортная
Куклы и фигурки,9,5,1023,808.23,349.0,434.57,418.35,14,-46.23,33.43,2746.5,высокая концентрация,76.03,77.78,категория открыта для нового входа,175.0,59.25,78.35,35.0,43.35,экономика комфортная
Магнитные игры и одевашки,5,5,985,981.12,524.4,488.12,404.54,38,-50.25,66.9,4869.79,высокая концентрация,80.05,80.0,категория открыта для нового входа,166.5,53.81,83.03,35.0,48.03,экономика комфортная
Игровые наборы и кухня,5,5,627,1229.32,473.4,511.21,450.0,13,-58.42,72.73,5802.55,высокая концентрация,70.05,40.0,категория открыта для нового входа,,,,35.0,,недостаточно данных
Настольные и карточные игры,2,2,449,287.39,287.39,514.15,447.75,114,78.9,85.97,7587.51,высокая концентрация,83.92,100.0,категория открыта для нового входа,65.0,71.11,77.38,35.0,42.38,экономика комфортная
Опыты и наука,1,1,30,299.0,299.0,543.95,408.59,9,81.92,100.0,10000.0,высокая концентрация,63.83,0.0,есть окно для агрессивного входа,545.0,59.6,-82.27,35.0,-117.27,экономика не сходится
