group,products_seen,seller_count,orders_sum,avg_price,median_price,my_avg_price,my_median_price,my_sku_count,price_gap_pct,leading_seller_share_pct,dominance_hhi,competition_profile,novelty_proxy_index,fresh_top_product_share_pct,novelty_profile,my_avg_cogs,my_avg_gross_margin_pct,market_margin_fit_pct,target_margin_pct,margin_vs_target_pct,market_margin_fit_profile
Конструкторы,24,21,31377,503.95,193.0,665.89,510.0,35,32.13,47.64,2897.21,высокая концентрация,73.22,40.0,категория открыта для нового входа,,,,35.0,,недостаточно данных
Мягкие игрушки и театр,20,17,29448,657.29,364.23,476.51,387.5,18,-27.5,80.42,6590.19,высокая концентрация,81.73,60.0,категория открыта для нового входа,,,,35.0,,недостаточно данных
Творчество и рукоделие,5,5,10548,368.96,299.0,362.36,299.0,66,-1.79,52.29,4229.7,высокая концентрация,72.45,40.0,категория открыта для нового входа,79.5,63.83,78.45,35.0,43.45,экономика комфортная
Антистрессы и сквиши,13,13,9613,201.27,163.0,301.5,294.0,4,49.8,27.51,1903.94,умеренная концентрация,75.09,70.0,категория открыта для нового входа,45.0,87.06,77.64,35.0,42.64,экономика комфортная
Прочее,36,27,9168,434.63,224.0,483.81,390.0,158,11.32,30.55,1378.12,раздробленный сегмент,73.48,60.0,категория открыта для нового входа,134.0,50.19,69.17,35.0,34.17,экономика комфортная
Ролевые игрушки и бластеры,18,13,7554,464.16,215.0,231.36,150.0,3,-50.16,50.23,3218.88,высокая концентрация,78.6,70.0,категория открыта для нового входа,,,,35.0,,недостаточно данных
Магнитные игры и одевашки,6,6,6460,781.32,261.89,488.12,404.54,38,-37.53,87.12,7661.65,высокая концентрация,81.51,66.67,категория открыта для нового входа,166.5,53.81,78.69,35.0,43.69,экономика комфортная
Товары для малышей,13,11,3747,380.18,297.0,402.74,312.0,29,5.93,29.81,1997.95,умеренная концентрация,80.84,80.0,категория открыта для нового входа,,,,35.0,,недостаточно данных
Деревянные игрушки и шнуровки,8,8,3617,317.37,252.5,474.89,399.0,166,49.63,73.32,5605.4,высокая концентрация,72.96,62.5,категория открыта для нового входа,183.0,57.51,42.34,35.0,7.34,экономика рабочая
Книги и обучающие материалы,6,6,2435,287.13,274.0,468.95,330.0,63,63.32,50.88,3441.86,высокая концентрация,77.03,66.67,категория открыта для нового входа,90.0,63.27,68.66,35.0,33.66,экономика комфортная
Транспорт и машинки,13,9,1402,1203.94,690.0,610.23,516.25,18,-49.31,58.27,3810.4,высокая концентрация,75.65,70.0,категория открыта для нового входа,35.0,74.82,97.09,35.0,62.09,экономика комфортная
"Кубики, мозаика и пирамидки",3,3,1155,422.77,374.0,479.46,490.5,39,13.41,98.18,9641.33,высокая концентрация,63.99,0.0,есть окно для агрессивного входа,,,,35.0,,недостаточно данных
Куклы и фигурки,10,6,466,634.22,293.0,434.57,418.35,14,-31.48,89.91,8119.51,высокая концентрация,63.55,50.0,категория открыта для нового входа,175.0,59.25,72.41,35.0,37.41,экономика комфортная
Настольные и карточные игры,3,3,292,715.06,727.09,514.15,447.75,114,-28.1,40.07,3530.92,высокая концентрация,92.8,100.0,категория открыта для нового входа,65.0,71.11,90.91,35.0,55.91,экономика комфортная
Игровые наборы и кухня,7,7,192,1225.89,473.4,511.21,450.0,13,-58.3,63.54,4440.1,высокая концентрация,55.74,14.29,есть окно для агрессивного входа,,,,35.0,,недостаточно данных
Пазлы,1,1,131,622.11,622.11,297.4,307.0,32,-52.19,100.0,10000.0,высокая концентрация,100.0,100.0,категория открыта для нового входа,,,,35.0,,недостаточно данных
Рюкзаки и аксессуары,1,1,83,299.0,299.0,286.94,349.0,3,-4.03,100.0,10000.0,высокая концентрация,89.24,100.0,категория открыта для нового входа,195.0,60.2,34.78,35.0,-0.22,экономика напряженная
