rank,product_id,title,sold,price,active,rating
1,913146,"Пазлы детские в рамке Герои Дисней: Король лев, Рапунцель, Холодное сердце, Моана, Виннипух",1599,99.0,161,4.9
2,956409,"Кубики детские ""Собери картинку"", 4 кубика. Дикие и Домашние животные, Транспорт",880,199.0,21,4.9
3,1997433,"Настольная игра ""Викторина. Школа дошколят""",872,359.0,5,5.0
4,895377,Кукла магнитная с одеждой. Игра магнитная Одевашки. Ксюша,845,349.0,31,4.9
5,2409774,"Химические опыты. Эксперименты. Неньютоновская жидкость, Фараоновая змея. Фиксики",753,319.0,51,4.9
6,534876,"Раскраски-антистресс Bondibon, в наборе, 21 х 30 см, А4",697,199.0,162,4.9
7,1832651,"Детская пластмассовая Мозаика, 100, 120, 150, 225 элементов",638,349.0,35,5.0
8,2213304,"Детский набор для вышивки крестиком Единорог, Корги, Лиса, Коала",574,249.0,15,4.7
9,897665,"Игра магнитная ""Одевашки. Модная девчонка. Кукла Анюта с одеждой""",557,399.0,31,5.0
10,931017,Пазлы мягкие для детей Герои мультфильма Дисней,477,145.0,65,4.9
11,1058969,Набор для творчества Мыло своими руками,466,315.0,23,5.0
12,923159,"Пазлы детские в рамке Холодное Сердце Эльза и Анна, в рамке",438,139.0,72,4.9
13,2379766,Веселая настольная игра Объяснялка Объясни жестами,400,269.0,0,5.0
14,2455331,Защитный чехол на сиденье автомобиля / Защитная накидка на спинку сиденья / Незапинайка,384,349.0,82,4.8
15,1832852,"Настольная игра Фанты, Объясни, покажи, нарисуй",366,249.0,0,4.5
16,1248402,Настольная игра лото для детей. Развивающая игра,363,219.0,19,5.0
17,309220,"Развивающая деревянная игрушка Шнуровка ""Три кота"" Карамелька",322,175.0,0,4.8
18,1280742,"Развивающая игра на липучках изучаем цвета, Мой дом, Овощи и фрукты, Формы, Времена года",318,699.0,17,4.9
19,900284,"Пазлы детские контурные для малышей Дикие, Домашние животные, Транспорт. Половинки",289,355.0,0,5.0
20,956258,Пазлы детские мягкие для мальчиков и девочек. Крупные пазлы для малышей. Пазлы для девочек,258,125.0,4,5.0
21,1031160,"Танграм магнитная игра с заданиями, развивающие игры для детей",253,459.0,0,4.6
22,972945,"Карточная настольная игра ""Мафия""",251,255.0,9,5.0
23,39379,"Книга для купания и игр в ванной Bondibon ""Животные""",245,245.0,0,4.5
24,117502,"Набор животных 12 шт. Bondibon ""Ребятам о зверятах""",243,249.0,0,4.5
25,1033468,"Настольная игра для детей Лото ""Животные"", ""Растения"", ""Кто где живет"", ""Собирай-ка""",236,245.0,0,5.0
26,2449171,"Картина по номерам детская Холодное сердце, Пони, Котики, Корги, Единорог, Космос",214,395.12,64,5.0
27,2201234,"Мяч детский, прыгун мягкий, Мячик Смайлик, спорт, в комплекте",210,128.0,72,5.0
28,978916,"Магниты детские Мои первые магниты, 28 элементов, детские магнитики, Магнитные истории",210,299.0,5,4.8
29,923591,"Азбука с заданиями, магнитная развивающая игра, русский алфавит",208,499.0,0,4.6
30,969613,"Пазлы детские крупные Maxi ""Игрушки"", ""Фрукты"", ""Ягоды"". Макси пазлы",200,299.0,15,5.0
31,309210,"Развивающая деревянная игрушка - шнуровка ""Три кота"" Коржик",200,175.0,0,5.0
32,1939359,"Набор для вышивания. Вышивание крестиком. Вышивка ""Новогодняя"" Дед мороз, Ёлочка",193,249.0,67,5.0
33,923388,"Магниты детские Машинки, карта / дорога ""Мы едем, едем"", магнитные машинки, транспорт",192,399.0,0,4.9
