abc_profit,abc_revenue,available_to_ship,avg_daily_sales_official,avg_daily_stock_official,avg_unit_revenue,barcode,cogs,current_winner,damaged,gross_profit,historical_only_hit,in_sale,inventory_row_id,key,marketplace_fee,net_revenue,product_id,profit_margin_pct,reorder_candidate,returns,returns_stock,revenue,sale_price,seller_sku_id,sku,stale_stock,status,stock_cover_days,stock_value_sale,stockout_risk,storage_cost_per_day,title,to_ship,total_stock,turnover_days_official,units_sold
A,A,990,0.017,11.467,1349.1,1000081114619,545.0,False,0,459.33,False,10,8111461,wow-опыты12-ГОЛУБ,344.77,1004.33,2743846,45.73,False,0,0,1349.1,1349.1,wow-опыты12-ГОЛУБ,WONDERS-ОПЫТЫ12-ГОЛУБ,False,В продаже,588.2,13491.0,False,0.0,Набор для опытов. Опыты детские. Большой набор,0,10,688.0,1
A,A,976,0.05,26.4,269.0,4690390208290,134.0,False,0,280.26,False,24,9244643,WONDERS-9705157-ЖЕЛТ,123.74,414.26,2529546,67.65,False,0,0,538.0,269.0,,WONDERS-9705157-ЖЕЛТ,False,В продаже,480.0,6456.0,False,0.0,Мыльные пузыри Большие Лунтик Барбоскины 200 мл,0,24,528.0,2
A,A,989,0.017,11.967,490.0,2900017385757,195.0,False,0,197.0,False,11,7401442,wow-чехол-РОЗОВ,98.0,392.0,2455331,50.26,False,0,0,490.0,490.0,wow-чехол-РОЗОВ,WONDERS-ЧЕХОЛ-РОЗОВ,False,В продаже,647.1,5390.0,False,0.0,Защитный чехол на сиденье автомобиля / Защитная накидка на спинку сиденья / Незапинайка,0,11,718.0,1
A,A,992,0.083,11.2,470.4,1000075126642,175.0,False,0,158.2,False,8,7512664,WONDERS-КАРТИНЫ-МАРСАЛ-15Х15,137.2,333.2,2449171,47.48,False,0,2,470.4,470.4,,WONDERS-КАРТИНЫ-МАРСАЛ-15Х15,False,В продаже,96.4,3763.2,False,0.0,Картина по номерам детская Холодное сердце Пони Котики Корги Единорог Космос,0,8,134.4,1
A,A,992,0.033,9.483,483.12,1000074937010,175.0,False,0,154.4,False,8,7493701,wow-21х15-Белый,153.72,329.4,2515846,46.87,False,0,0,483.12,395.12,wow-21х15-Белый,WONDERS-21Х15-БЕЛЫЙ,False,В продаже,242.4,3160.96,False,0.0,Картина по номерам детская ракраска. Холсте с подрамником Единорог Пони Холодное сердце,0,8,284.5,1
A,A,979,0.017,21.983,430.65,4670006856084,183.0,False,0,133.8,False,21,1237069,WONDERS-ПЗЛ05,113.85,316.8,455258,42.23,False,0,0,430.65,430.65,,WONDERS-ПЗЛ05,False,В продаже,1235.3,9043.65,False,0.0,Детские деревянные пазлы 'Учись считать',0,21,1319.0,1
B,A,1000,0.036,1.125,369.0,6900097699078,196.0,False,0,88.13,False,0,8364590,WONDERS-ОДЕВАШК-ГОЛУБ,84.87,284.13,2406358,31.02,False,0,0,369.0,369.0,,WONDERS-ОДЕВАШК-ГОЛУБ,False,В продаже,0.0,0.0,True,0.0,Магнитная кукла с нарядами Алиса 'Одевашки',0,0,31.5,1
B,A,969,0.083,33.917,349.0,4606088040943,137.0,False,0,131.73,False,31,2404073,04094,80.27,268.73,895377,49.02,False,0,13,349.0,349.0,04094,WONDERS-04094,False,В продаже,373.5,10819.0,False,0.0,Кукла магнитная с одеждой. Игра магнитная Одевашки. Ксюша,0,31,407.0,1
A,B,993,0.0,8.0,245.0,4606088042206,90.0,False,0,148.55,False,7,2529867,WONDERS-04220-КРАСН,6.45,238.55,937685,62.27,False,0,0,245.0,245.0,,WONDERS-04220-КРАСН,False,В продаже,,1715.0,False,0.0,Магнитная игра 'Азбука с картинками' 54 элемента. Русский алфавит,0,7,0.0,1
A,B,1000,0.018,1.0,225.0,1000044518188,65.0,False,0,157.25,False,0,4451818,WONDERS-02654,2.75,222.25,1610616,70.75,False,0,1,225.0,225.0,,WONDERS-02654,False,Возврат,0.0,0.0,True,0.0,Настольная игра Крестики-нолики с деревянными фишками и полем,0,0,57.0,1
B,B,989,0.033,11.983,249.0,4606088048949,75.0,False,0,104.28,False,11,6530525,WONDERS-04890-ВИШН,69.72,179.28,2213304,58.17,False,0,2,249.0,249.0,,WONDERS-04890-ВИШН,False,В продаже,333.3,2739.0,False,0.0,Детский набор для вышивки крестиком Единорог Корги Лиса Коала,0,11,359.5,1
C,C,987,0.0,14.0,199.0,1000036004934,84.0,False,0,59.28,False,13,3600493,WONDERS-ДОСКИ2-РЫЖИЙ,55.72,143.28,1316058,41.37,False,0,0,199.0,199.0,,WONDERS-ДОСКИ2-РЫЖИЙ,False,В продаже,,2587.0,False,0.0,Доски для выжигания по дереву 2 штуки. Набор досок деревянных,0,13,0.0,1
C,C,988,0.017,12.917,139.0,1000092459433,35.0,False,0,72.03,False,12,9245943,WONDERS-СИНИЙ24-ЗЕЛХАКИ,31.97,107.03,2380711,67.3,False,0,0,139.0,139.0,,WONDERS-СИНИЙ24-ЗЕЛХАКИ,False,В продаже,705.9,1668.0,False,0.0,Пазл детский Синий трактор Транспорт животные дикие домашние на ферме 24 элемента,0,12,775.0,1
C,C,1000,0.0,0.0,0.0,1000000039139,0.0,False,0,0.0,True,0,3913,WONDERS-ВКЛЖИВ1-СЕРЕБРН,0.0,0.0,2051,0.0,False,0,0,0.0,199.0,,WONDERS-ВКЛЖИВ1-СЕРЕБРН,False,Закончился,,0.0,False,0.0,Игрушка-вкладыши 'Животные',0,0,0.0,0
C,C,1000,0.0,0.0,0.0,1000000039146,0.0,False,0,0.0,True,0,3914,WONDERS-ВКЛЖИВ1-СЕРЫЙ,0.0,0.0,2051,0.0,False,0,0,0.0,199.0,,WONDERS-ВКЛЖИВ1-СЕРЫЙ,False,Закончился,,0.0,False,0.0,Игрушка-вкладыши 'Животные',0,0,0.0,0
C,C,1000,0.0,0.0,0.0,1000000039153,0.0,False,0,0.0,True,0,3915,WONDERS-ВКЛЖИВ1-ЧЕРН,0.0,0.0,2051,0.0,False,0,0,0.0,199.0,,WONDERS-ВКЛЖИВ1-ЧЕРН,False,Закончился,,0.0,False,0.0,Игрушка-вкладыши 'Животные',0,0,0.0,0
C,C,1000,0.0,0.0,0.0,1000000039160,0.0,False,0,0.0,True,0,3916,WONDERS-ВКЛЖИВ1-УГОЛЬН,0.0,0.0,2051,0.0,False,0,0,0.0,199.0,,WONDERS-ВКЛЖИВ1-УГОЛЬН,False,Закончился,,0.0,False,0.0,Игрушка-вкладыши 'Животные',0,0,0.0,0
C,C,1000,0.0,0.0,0.0,1000000042061,0.0,False,0,0.0,True,0,4206,WONDERS-НГНАВЛ1-ЧЕРН,0.0,0.0,2183,0.0,False,0,0,0.0,199.0,,WONDERS-НГНАВЛ1-ЧЕРН,False,Закончился,,0.0,False,0.0,Новогодние декоративные наволочки 45х45 см,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,1000000042078,0.0,False,0,0.0,True,0,4207,WONDERS-НГНАВЛ1-СЕРЫЙ,0.0,0.0,2183,0.0,False,0,0,0.0,199.0,,WONDERS-НГНАВЛ1-СЕРЫЙ,False,Закончился,,0.0,False,0.0,Новогодние декоративные наволочки 45х45 см,0,0,0.0,0
