rank,seller_id,title,slug,products_seen
1,22221,Кунай,naruto,5366
2,84138,Академия Игр,akademiaigr,2106
3,81893,FBS ООО «Джой Групп» FBS,joy-joy2,1996
4,77417,Ultra Toys,ultra-toys,1709
5,82540,Удачная Тема,udachnayatematop,1564
6,36131,Sima-Express,sima-express,1321
7,57058,OYLAA!,oylaa,1158
8,8382,ExclusiveGOODS,exclusivegoods,971
9,15625,LEGO,lego,952
10,15666,BUDI BASA,budibasa,905
11,63625,ТМ Технопарк,tehnopark,890
12,8760,НеИгрушки.рф,notoy,882
13,63609,Играем вместе,igraem-vmeste,865
14,16685,Магазин детских товаров Ассорти,assorty,863
15,23517,ПЛАНЕТА ДЕТСТВА,planetadetstva,789
16,36681,"Мастерская ""ПЕТЕЛЬКА""",masterska-petelka,670
17,36282,АЗБУКА,azb,623
18,78800,Рыжий кот_товары для детей,redcat-toys,575
19,71433,Мультимагазин,multistoremm,574
20,40319,Игрушечный,igrushechny,564
21,74668,ТОЙС ТОЙС,toys-toys,558
22,51738,MALVINASHOP,malvinashop,553
23,44645,Build and play,b-and-p,539
24,65101,Милашки,milashki,538
25,38982,CARAMEL-KA,caramel-ka,508
26,98,Магазин детских развивающих игрушек,wow,496
27,17265,Happy family,happyfamily2021,489
28,72757,LOOT BOX,lootbox,485
29,15814,1 Toy,1toy,465
30,21833,Besttoys,besttoys,461
31,76675,Весёлое детство,veseloe-detstvo,441
32,63394,Миминёнок&Rorg_L2,miminenok-rorgl2,438
33,32929,Let start!,letstart,432
34,42089,LandJoy,landjoy,418
35,85511,Инвентив Тойз,inventivtoys,413
36,54255,САМСОН,samson555,397
37,64798,ТМ Карапуз,tmkarapuz,396
38,66646,Nerdvana,nerdvana,391
39,63382,ЭлАкс&Rorg_L2,elax-rorgl2,378
40,66634,Detki-tut,detki-tut,370
41,55908,Toys37,ivtoys37,355
42,34580,НИКАРИШ,nikarisha,353
43,79991,DigiDash,dididash,347
44,9180,Luchik-toys,luchik-toys,345
45,56329,Аязофф,ayazoff,345
46,17885,Лилия,liliya,343
47,63393,ПаРаДоКс&Rorg_L2,paradox-rorgl2,343
48,27281,Симба Тойз Рус,simba,332
49,66705,my b@by,mybaby1,319
50,249,"Теперь умею! I ""Магазин развивающих игрушек""",pantera,317
51,73090,Nanotovar,nanotovar,316
52,17382,МирХобби,mirhobby,315
53,43021,SHOP016,shop016,314
54,47927,КиндерЛэнд,kinderland,310
55,16367,"Штучки, к которым тянутся ручки",shtuchki-k-kotorym-tyanutsya-ruchki,308
56,16100,УМКА,umka,300
57,25908,KUKU Kids,kuku,256
58,28064,World of joy,worldofjoy,253
59,78755,All kids toys,all-kids-toys,252
60,82037,Свежий ветер,freshwind,252
61,76468,Chicco Official Store,chiccoofficialstore,251
62,20031,Море Шаров,httpswwwinstagramcommoresharov16hlru,251
63,64796,ТМ «Город мастеров»,tmgorod,244
64,38280,Крошка Мания,fiestalife,238
65,36714,У ПеТрОвИчА,petr0vi4,232
66,63605,Технодрайв,tehnodraiv,229
67,29093,Almaz Game,almazgame,228
68,19326,REBYATKI,rebyatki,227
69,81341,3DMAGICToys,3dmt,220
70,26480,GameBox,gamebox,216
71,48019,Toy's store,toys-store,212
72,8119,Магазин СПЛ-Техник Рус,spltechnikrus,206
73,63610,Мульти-Пульти игрушки,mylti-igra,206
74,76478,ООО БЛАГОДАРЮ,bmgroup,201
75,52755,Мякиши,myakishi,198
76,79452,Magnit Market Toys,mmtoys,195
77,73606,Biggies,biggies,194
78,13668,КомФорте,comf,193
79,15813,Полесье,woodland,188
80,22156,МАССПОРТ,masport,187
81,67022,AltairTOYS,altairtoys,186
82,81512,Stumble Guys,stumbleguys,184
83,76177,Официальный магазин Н.В. Кунцов,19920501,184
84,72409,Детки рулят,detkirulyat,180
85,40952,Хижина чудес,mysteryshack,179
86,10640,Антошка,antstore,178
87,18558,РАЗВИВАШКА,razvivashka,178
88,27763,Lyubimka,lyubimka,175
89,4386,Lilitopia,lilitopia,170
90,36530,ТИГРИК - развивающие игрушки,tigrik-toys,168
91,20547,"Абумба, с заботой о малышах",babyoptgroup,166
92,75762,Florida,florida,165
93,180,Sun Market ,sun-market,162
94,78578,Фирменный магазин бренда BONDIBON,bondibon,160
95,15634,НЕСКУЧНЫЕ ИГРЫ,neskuchnyyeigry,159
96,28298,YOUR HERO [ё хиро]-твой герой,yourhero,157
97,55190,Мягкие и милые игрушки Budi Basa,budi-basa,150
98,84034,РОСМЭН-официальный магазин,rosmen,146
99,70840,Волшебный мир игрушек,toysworld,144
100,31615,lifely,lifely,140
101,14017,grat-toys.ru,grat-toys-ru,139
102,23748,SHOP OF WONDERS,shopofwonders,139
103,55552,FANСY,fancy1,137
104,73564,ZURU,zuru,136
105,23758,"ХитТОЙ - игрушки и подарки, которые хотят не только дети, но и их родители",hittoy,136
106,77115,Among Us,amongus,131
107,3291,Qunity - магазин развивающих игрушек,q,131
108,84014,Dream maker,dreammaker,130
109,37737,KIDS DREAMS,kidsdreams,124
110,143,Скороход,skorok,124
111,16234,"Nerf, мячи, машинки и др. - Детский мир",toy-s,124
112,19348,medvedivkazani.ru,medvedivkazani,124
113,60837,BeautyGoods,beautygoods,122
114,15482,SuperGame,supergame,121
115,4463,bala,balakzn,119
116,39261,BaiDoro,baidoro,118
117,21761,У Софьи,sof,117
118,85489,НЕСКУЧНЫЕ ИГРЫ - официальный магазин,neskuchnyeigry,114
119,26659,100500,100500,114
120,76559,CareProff,careproff,114
121,13369,Яшка,yashka,113
122,16071,MaxPlace,maxplace,112
123,1080,ОФИЦИАЛЬНЫЙ МАГАЗИН MILATERIA,milateria,112
124,77041,Любимые дети,lovekids74,109
125,40474,MINIBrand,minibrand,108
126,1115,МИШКА ТИШКА,mishka-tishka,104
127,13889,ИгроМир,igromir,103
128,20731,Всезнайка,vseznaika,102
129,7836,Detki too,detkitoo,102
130,77117,Funky Toys,funkytoys,101
131,67343,mamagoods,mamagoods,100
132,77209,SIMPATICA,sca,100
133,69650,Little Shop18,littleshop18,99
134,72668,NABI STORE,nabistore,98
135,41165,Wolf Forest,wolfforest,98
136,25361,Детский Квартал,detskiykvartal,97
137,17579,Подарки от Совушки,sovushka,96
138,25787,Серый кот,little-cat,96
139,81840,До Луны и обратно,dolunsiobratno,96
140,75416,Официальный магазин QBRIX-MOZABRICK,qbrix-mozabrick,93
141,24932,Friends,friends,92
142,75023,Sezon4ik,sezon4ik,92
