avg_daily_sales_sum,barcode_count,barcodes,current_winner,family_key,net_revenue_sum,product_ids,reorder_candidate,seller_sku_count,seller_sku_ids,sku_count,skus,sold_units_sum,stale_stock,stock_cover_days,stock_units_sum,stockout_risk,title,variant_count,variant_titles
3.087,7,"['1000081114602', '1000081114619', '1000081145866', '1000083619631', '1000087051055', '6900065783310', '6900065783327']",False,product:2743846,1004.33,[2743846],False,7,"['wow-опыты12-АМЕТИС', 'wow-опыты12-БАГРОВ', 'wow-опыты12-ГОЛУБ', 'wow-опыты12-ЗЕЛЕН', 'wow-опыты12-КРАСН', 'wow-опыты12-ОРАНЖ', 'wow-опыты12-СИНИЙ']",7,"['WONDERS-ОПЫТЫ12-АМЕТИС', 'WONDERS-ОПЫТЫ12-БАГРОВ', 'WONDERS-ОПЫТЫ12-ГОЛУБ', 'WONDERS-ОПЫТЫ12-ЗЕЛЕН', 'WONDERS-ОПЫТЫ12-КРАСН', 'WONDERS-ОПЫТЫ12-ОРАНЖ', 'WONDERS-ОПЫТЫ12-СИНИЙ']",1,False,5.8,18,True,Набор для опытов. Опыты детские. Большой набор,7,['Набор для опытов. Опыты детские. Большой набор']
0.05,2,"['4612725572555', '4690390208290']",False,product:2529546,414.26,[2529546],False,0,[],2,"['WONDERS-9705157-АМЕТИС', 'WONDERS-9705157-ЖЕЛТ']",2,False,480.0,24,False,Мыльные пузыри Большие Лунтик Барбоскины 200 мл,2,['Мыльные пузыри Большие Лунтик Барбоскины 200 мл']
5.884,17,"['1000074025588', '1000074029272', '2900017385757', '2900047009081', '4660103802275', '6900075195356', '6900075195516', '6900094821625', '6900094821670', '6900102246440', '6900102246457', '6900102246464', '6900102246488', '6900102246525', '6909802685009', '6909802687003', '6909802688000']",False,product:2455331,392.0,[2455331],False,17,"['wow-чехол-АЛЫЙ', 'wow-чехол-БЕЖЕВ', 'wow-чехол-БИРЮЗ', 'wow-чехол-ВИШН', 'wow-чехол-ЖЕЛТ', 'wow-чехол-ЗЕЛЕН', 'wow-чехол-ЗОЛОТ', 'wow-чехол-КОНФЕТН', 'wow-чехол-КРАСН', 'wow-чехол-ЛАЗУР', 'wow-чехол-ЛАЙМ', 'wow-чехол-МОРСК', 'wow-чехол-НГОЛУБ', 'wow-чехол-РОЗОВ', 'wow-чехол-РЫЖИЙ', 'wow-чехол-СИНИЙ', 'wow-чехол-ТЕМНРОЗ']",17,"['WONDERS-ЧЕХОЛ-АЛЫЙ', 'WONDERS-ЧЕХОЛ-БЕЖЕВ', 'WONDERS-ЧЕХОЛ-БИРЮЗ', 'WONDERS-ЧЕХОЛ-ВИШН', 'WONDERS-ЧЕХОЛ-ЖЕЛТ', 'WONDERS-ЧЕХОЛ-ЗЕЛЕН', 'WONDERS-ЧЕХОЛ-ЗОЛОТ', 'WONDERS-ЧЕХОЛ-КОНФЕТН', 'WONDERS-ЧЕХОЛ-КРАСН', 'WONDERS-ЧЕХОЛ-ЛАЗУР', 'WONDERS-ЧЕХОЛ-ЛАЙМ', 'WONDERS-ЧЕХОЛ-МОРСК', 'WONDERS-ЧЕХОЛ-НГОЛУБ', 'WONDERS-ЧЕХОЛ-РОЗОВ', 'WONDERS-ЧЕХОЛ-РЫЖИЙ', 'WONDERS-ЧЕХОЛ-СИНИЙ', 'WONDERS-ЧЕХОЛ-ТЕМНРОЗ']",1,False,13.8,81,True,Защитный чехол на сиденье автомобиля / Защитная накидка на спинку сиденья / Незапинайка,17,['Защитный чехол на сиденье автомобиля / Защитная накидка на спинку сиденья / Незапинайка']
4.263,25,"['1000073823161', '1000073823192', '1000073823222', '1000073823253', '1000073823284', '1000073823345', '1000073832774', '1000075126642', '1000075247675', '1000075247743', '1000075247804', '1000079158809', '6900048253052', '6900048253069', '6900073705410', '6900090713269', '6900090859004', '6900090859028', '6900095676378', '6900095676392', '6900104726544', '6900104726551', '6900104726568', '6900104726575', '6900106386890']",False,product:2449171,333.2,[2449171],False,0,[],25,"['WONDERS-КАРТИНЫ-АМЕТИС-15Х15', 'WONDERS-КАРТИНЫ-БЕЖЕВ-20Х30', 'WONDERS-КАРТИНЫ-БЕЛЫЙ-20Х30', 'WONDERS-КАРТИНЫ-БИРЮЗ-20Х30', 'WONDERS-КАРТИНЫ-БРОНЗ-20Х30', 'WONDERS-КАРТИНЫ-ГОЛУБ-15Х15', 'WONDERS-КАРТИНЫ-ЖЕЛТ-15Х15', 'WONDERS-КАРТИНЫ-ЗЕЛЕН-20Х30', 'WONDERS-КАРТИНЫ-ЗОЛОТ-15Х15', 'WONDERS-КАРТИНЫ-ИНДИГО-15Х15', 'WONDERS-КАРТИНЫ-КОНФЕТН-20Х30', 'WONDERS-КАРТИНЫ-КОРИЧН-15Х15', 'WONDERS-КАРТИНЫ-ЛАЗУР-20Х30', 'WONDERS-КАРТИНЫ-ЛАЙМ-17Х17', 'WONDERS-КАРТИНЫ-ЛЕДЯН-20Х30', 'WONDERS-КАРТИНЫ-ЛЗЕЛЕН-20Х30', 'WONDERS-КАРТИНЫ-ЛИЛОВ-17Х17', 'WONDERS-КАРТИНЫ-МАРСАЛ-15Х15', 'WONDERS-КАРТИНЫ-ПУРПУР-20Х30', 'WONDERS-КАРТИНЫ-РОЗОВ-15Х15', 'WONDERS-КАРТИНЫ-РЫЖИЙ-15Х15', 'WONDERS-КАРТИНЫ-СИРЕН-15Х15', 'WONDERS-КАРТИНЫ-ТЕМНСИН-20Х30', 'WONDERS-КАРТИНЫ-ФУКСИЯ-15Х15', 'WONDERS-КАРТИНЫ-ЧЕРН-15Х15']",1,False,15.0,64,False,Картина по номерам детская Холодное сердце Пони Котики Корги Единорог Космос,25,['Картина по номерам детская Холодное сердце Пони Котики Корги Единорог Космос']
1.231,17,"['1000074937010', '1000074937034', '1000074937041', '1000086912104', '2900051424269', '2900051990696', '2900051990702', '6900048252994', '6900049926450', '6900051424234', '6900079141694', '6900090713122', '6900090713139', '6900090713153', '6900104881298', '6900104881328', '6900104881342']",False,product:2515846,329.4,[2515846],False,17,"['wow-21х15-Аметистовый', 'wow-21х15-Белый', 'wow-21х15-Голубой', 'wow-21х15-Зеленый', 'wow-21х15-Конфетный', 'wow-21х15-Кремовый', 'wow-21х15-Лавандовый', 'wow-21х15-Леснойзеленый', 'wow-21х15-Розовый', 'wow-21х15-Серый', 'wow-21х15-Фиолетовый', 'wow-21х15-Хром', 'wow-21х15-бежевый', 'wow-21х15-бирюзовый', 'wow-21х15-вишневый', 'wow-21х15-индиго', 'wow-21х15-синий']",17,"['WONDERS-21Х15-АМЕТИС', 'WONDERS-21Х15-БЕЖЕВ', 'WONDERS-21Х15-БЕЛЫЙ', 'WONDERS-21Х15-БИРЮЗ', 'WONDERS-21Х15-ВИШН', 'WONDERS-21Х15-ГОЛУБ', 'WONDERS-21Х15-ЗЕЛЕН', 'WONDERS-21Х15-ИНДИГО', 'WONDERS-21Х15-КОНФЕТН', 'WONDERS-21Х15-КРЕМОВ', 'WONDERS-21Х15-ЛАВАНД', 'WONDERS-21Х15-ЛЗЕЛЕН', 'WONDERS-21Х15-РОЗОВ', 'WONDERS-21Х15-СЕРЫЙ', 'WONDERS-21Х15-СИНИЙ', 'WONDERS-21Х15-ФИОЛЕТ', 'WONDERS-21Х15-ХРОМ']",1,False,85.3,105,False,Картина по номерам детская ракраска. Холсте с подрамником Единорог Пони Холодное сердце,17,['Картина по номерам детская ракраска. Холсте с подрамником Единорог Пони Холодное сердце']
0.017,1,['4670006856084'],False,product:455258,316.8,[455258],False,0,[],1,['WONDERS-ПЗЛ05'],1,False,1235.3,21,False,Детские деревянные пазлы 'Учись считать',1,"[""Детские деревянные пазлы 'Учись считать'""]"
0.153,5,"['4606088053134', '4606088053141', '6900097699054', '6900097699061', '6900097699078']",False,product:2406358,284.13,[2406358],False,0,[],5,"['WONDERS-ОДЕВАШК-БИРЮЗ', 'WONDERS-ОДЕВАШК-ВИШН', 'WONDERS-ОДЕВАШК-ГОЛУБ', 'WONDERS-ОДЕВАШК-РОЗОВ', 'WONDERS-ОДЕВАШК-СИРЕН']",1,False,568.6,87,False,Магнитная кукла с нарядами Алиса 'Одевашки',5,"[""Магнитная кукла с нарядами Алиса 'Одевашки'""]"
0.083,1,['4606088040943'],False,product:895377,268.73,[895377],False,1,['04094'],1,['WONDERS-04094'],1,False,373.5,31,False,Кукла магнитная с одеждой. Игра магнитная Одевашки. Ксюша,1,['Кукла магнитная с одеждой. Игра магнитная Одевашки. Ксюша']
0.033,2,"['1000025298665', '4606088042206']",False,product:937685,238.55,[937685],False,0,[],2,"['WONDERS-04220-ЗЕЛЕН', 'WONDERS-04220-КРАСН']",1,False,424.2,14,False,Магнитная игра 'Азбука с картинками' 54 элемента. Русский алфавит,2,"[""Магнитная игра 'Азбука с картинками' 54 элемента. Русский алфавит""]"
0.018,1,['1000044518188'],False,product:1610616,222.25,[1610616],False,0,[],1,['WONDERS-02654'],1,False,0.0,0,True,Настольная игра Крестики-нолики с деревянными фишками и полем,1,['Настольная игра Крестики-нолики с деревянными фишками и полем']
8.773,15,"['1000073899548', '1000073899555', '1000073899562', '4606088048895', '4606088048918', '4606088048925', '4606088048932', '4606088048949', '4606088052557', '4606088052564', '4606088052571', '4606088052588', '4606088052595', '4606088052601', '4606088052618']",False,product:2213304,179.28,[2213304],False,0,[],15,"['WONDERS-04890-БЕЖЕВ', 'WONDERS-04890-БЕЛЫЙ', 'WONDERS-04890-ВИШН', 'WONDERS-04890-КОНФЕТН', 'WONDERS-04890-КОРИЧН', 'WONDERS-04890-ЛАЙМ', 'WONDERS-04890-ЛИМОН', 'WONDERS-04890-МАРСАЛ', 'WONDERS-04890-ОРАНЖ', 'WONDERS-04890-ПУДР', 'WONDERS-04890-ПУРПУР', 'WONDERS-04890-РОЗОВ', 'WONDERS-04890-РЫЖИЙ', 'WONDERS-04890-СВЕТКОР', 'WONDERS-04890-СЕРЫЙ']",1,False,1.7,15,True,Детский набор для вышивки крестиком Единорог Корги Лиса Коала,15,['Детский набор для вышивки крестиком Единорог Корги Лиса Коала']
0.05,6,"['1000036004910', '1000036004927', '1000036004934', '1000036004958', '1000050974954', '4606088017747']",False,product:1316058,143.28,[1316058],False,0,[],6,"['WONDERS-ДОСКИ2-БЕЖЕВ', 'WONDERS-ДОСКИ2-БЕЛЫЙ', 'WONDERS-ДОСКИ2-КОРИЧН', 'WONDERS-ДОСКИ2-РЫЖИЙ', 'WONDERS-ДОСКИ2-СЕРЫЙ', 'WONDERS-ДОСКИ2-ЧЕРН']",1,False,660.0,33,False,Доски для выжигания по дереву 2 штуки. Набор досок деревянных,6,['Доски для выжигания по дереву 2 штуки. Набор досок деревянных']
0.084,5,"['1000071754368', '1000071754375', '1000071754382', '1000071754399', '1000092459433']",False,product:2380711,107.03,[2380711],False,0,[],5,"['WONDERS-СИНИЙ24-ЖЕЛТ', 'WONDERS-СИНИЙ24-ЗЕЛЕН', 'WONDERS-СИНИЙ24-ЗЕЛХАКИ', 'WONDERS-СИНИЙ24-СИНИЙ', 'WONDERS-СИНИЙ24-ТЕМНСИН']",1,False,761.9,64,False,Пазл детский Синий трактор Транспорт животные дикие домашние на ферме 24 элемента,5,['Пазл детский Синий трактор Транспорт животные дикие домашние на ферме 24 элемента']
3.5,7,"['1000075699870', '2900079990449', '2900091453830', '2900091453847', '2900091453854', '2900091453861', '2900091453878']",False,product:2559085,0.0,[2559085],False,0,[],7,"['WONDERS-БИСЕР-АЛЫЙ', 'WONDERS-БИСЕР-БЕЛЫЙ', 'WONDERS-БИСЕР-БИРЮЗ', 'WONDERS-БИСЕР-ЖЕЛТ', 'WONDERS-БИСЕР-ЗЕЛЕН', 'WONDERS-БИСЕР-ЗОЛОТ', 'WONDERS-БИСЕР-КОНФЕТН']",0,False,0.6,2,True,Набор для бисероплетения Украшение из бисера,7,['Набор для бисероплетения Украшение из бисера']
3.0,3,"['1000079152432', '1000079152449', '1000079152456']",False,product:2743018,0.0,[2743018],False,3,"['внимание-бирюз', 'внимание-корал', 'внимание-лаван']",3,"['WONDERS-ВНИМАНИ-БИРЮЗ', 'WONDERS-ВНИМАНИ-КОРАЛЛ', 'WONDERS-ВНИМАНИ-ЛАВАНД']",0,False,13.7,41,True,Развивающая Книга с наклейками Буквы и слова Внимание Буквы и Счёт,3,['Развивающая Книга с наклейками Буквы и слова Внимание Буквы и Счёт']
2.5,8,"['4606088042794', '4606088042800', '4606088042817', '4606088042824', '4606088042831', '4606088042848', '4606088042855', '4606088042862']",False,product:1328379,0.0,[1328379],False,0,[],8,"['WONDERS-04279-ГОЛУБ', 'WONDERS-04279-ЖЕЛТ', 'WONDERS-04279-ЗЕЛЕН', 'WONDERS-04279-КОРИЧН', 'WONDERS-04279-ЛАВАНД', 'WONDERS-04279-ОРАНЖ', 'WONDERS-04279-РОЗОВ', 'WONDERS-04279-СЕРЫЙ']",0,False,13.2,33,True,Набор для шитья мягкая игрушка из фетра своими руками,8,['Набор для шитья мягкая игрушка из фетра своими руками']
2.383,6,"['1000065767053', '1000065767060', '1000065767077', '1000065767084', '1000065767091', '1000065767107']",False,product:2223434,0.0,[2223434],False,0,[],6,"['WONDERS-МЯЧИК-АПЕЛЬСИ', 'WONDERS-МЯЧИК-АРБУЗ', 'WONDERS-МЯЧИК-ВИНОГРА', 'WONDERS-МЯЧИК-КИВИ', 'WONDERS-МЯЧИК-КЛУБНИК', 'WONDERS-МЯЧИК-ЛИМОН']",0,False,9.7,23,True,Мяч детский прыгун мягкий мячик-антистресс 'Смайлик - фрукты',6,"[""Мяч детский прыгун мягкий мячик-антистресс 'Смайлик - фрукты'""]"
